3.522063108354494716e+02,2.433683404983000003e+02,1.606967704556610810e-01,5.522933324597236293e+01
4.147686515653297761e+02,1.296509263872275369e+03,1.936492049667995208e-01,0.000000000000000000e+00
2.650976803343315851e+02,6.272290063613835400e+02,1.452955075493949366e-01,5.953083272774819079e+01
2.843766611307526091e+02,1.127152596729971492e+03,6.503703022557452695e-02,8.966814999554345889e+01
3.290564807590976670e+02,1.038469175981726039e+03,1.056585868244751675e-01,7.218206243907094688e+01
1.945103531115069870e+02,9.701586126375279946e+02,1.515898724143142084e-01,0.000000000000000000e+00
8.844933163215475247e+01,6.718764563138985295e+02,1.364136322627843845e-01,0.000000000000000000e+00
2.445494288751576448e+02,1.992475989515647825e+02,2.035068084656103116e-01,7.826918858726547512e+01
1.285026687543744970e+02,1.419752992005492615e+03,1.212195199497030085e-01,0.000000000000000000e+00
2.120135890695312639e+02,4.138105392019604096e+02,8.240946498250203978e-02,5.410355978580985692e+01
1.566105959456151027e+02,1.180571409867363627e+03,1.667673592394430249e-01,0.000000000000000000e+00
3.871365229573827378e+02,8.353367691848770846e+02,1.831615154158152403e-01,2.811874428097031142e+01
3.179918996717234450e+02,7.849018242295635446e+02,9.708681476687126832e-02,6.127667344366495428e+01
6.264255832692789738e+01,3.589452457679659574e+02,7.827191067473771025e-02,1.512805646364067869e+01
9.900213531478279094e+01,5.126397277407091906e+02,1.118692356716947806e-01,0.000000000000000000e+00
